Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.842,0.84,0.912,0.913,0.912,0.913,0.913,0.88
2,0.726,0.725,0.864,0.84,0.837,0.84,0.84,0.848
3,0.646,0.644,0.846,0.785,0.782,0.785,0.785,0.776
4,0.58,0.578,0.83,0.735,0.731,0.735,0.735,0.679
5,0.526,0.524,0.804,0.689,0.685,0.689,0.689,0.603
6,0.486,0.483,0.788,0.653,0.649,0.653,0.653,0.522
7,0.447,0.445,0.771,0.618,0.614,0.618,0.618,0.431
8,0.417,0.415,0.763,0.586,0.582,0.586,0.586,0.367
9,0.387,0.385,0.746,0.556,0.552,0.556,0.556,0.195
10,0.363,0.361,0.733,0.531,0.527,0.531,0.531,0.152
