Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A4-A1,0.911,0.745,0.887,0.956,0.687,0.926,0.948,0.897,0.932
A4-A2,0.384,0.105,0.34,0.554,0.04,0.343,0.525,0.67,0.778
A4-A3,0.958,0.894,0.914,0.969,0.855,0.966,0.966,0.89,0.926
