Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A4-A2,0.577,0.193,0.456,0.67,0.091,0.499,0.657,0.857,0.91
A4-A1,0.949,0.864,0.905,0.967,0.807,0.961,0.965,0.899,0.946
A4-A3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
