Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A4-A1,0.954,0.834,0.892,0.971,0.75,0.958,0.971,0.927,0.974
A4-A2,0.477,0.106,0.357,0.574,0.041,0.397,0.555,0.846,0.872
A4-A3,0.978,0.948,0.963,0.981,0.921,0.981,0.981,0.925,0.927
