Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.904 ± 0.013,0.942 ± 0.005,0.954 ± 0.023,0.935 ± 0.051,0.939 ± 0.008,0.935 ± 0.009,0.898 ± 0.014,0.897 ± 0.019,0.899 ± 0.011,0.897 ± 0.015,0.893 ± 0.012,0.891 ± 0.021,0.891 ± 0.016
2,0.860 ± 0.006,0.930 ± 0.018,0.916 ± 0.038,0.958 ± 0.021,0.925 ± 0.035,0.919 ± 0.040,0.849 ± 0.009,0.853 ± 0.009,0.847 ± 0.013,0.849 ± 0.012,0.835 ± 0.017,0.843 ± 0.013,0.837 ± 0.016
3,0.832 ± 0.007,0.875 ± 0.019,0.829 ± 0.108,0.871 ± 0.009,0.825 ± 0.067,0.798 ± 0.081,0.808 ± 0.004,0.807 ± 0.006,0.756 ± 0.074,0.768 ± 0.049,0.740 ± 0.064,0.780 ± 0.002,0.750 ± 0.036
4,0.789 ± 0.030,0.847 ± 0.025,0.795 ± 0.084,0.840 ± 0.035,0.790 ± 0.064,0.752 ± 0.083,0.751 ± 0.027,0.749 ± 0.024,0.702 ± 0.039,0.704 ± 0.027,0.672 ± 0.020,0.704 ± 0.020,0.674 ± 0.007
5,0.758 ± 0.017,0.820 ± 0.010,0.742 ± 0.035,0.810 ± 0.040,0.746 ± 0.038,0.690 ± 0.049,0.705 ± 0.017,0.702 ± 0.006,0.652 ± 0.024,0.653 ± 0.025,0.603 ± 0.006,0.637 ± 0.004,0.605 ± 0.003
6,0.726 ± 0.019,0.823 ± 0.021,0.745 ± 0.014,0.815 ± 0.014,0.749 ± 0.001,0.694 ± 0.009,0.666 ± 0.033,0.663 ± 0.018,0.631 ± 0.034,0.633 ± 0.027,0.551 ± 0.052,0.590 ± 0.033,0.553 ± 0.045
7,0.694 ± 0.006,0.800 ± 0.031,0.706 ± 0.039,0.785 ± 0.020,0.712 ± 0.013,0.639 ± 0.030,0.617 ± 0.023,0.610 ± 0.001,0.560 ± 0.039,0.569 ± 0.017,0.455 ± 0.063,0.512 ± 0.017,0.461 ± 0.042
8,0.655 ± 0.004,0.773 ± 0.004,0.667 ± 0.050,0.731 ± 0.070,0.665 ± 0.062,0.567 ± 0.083,0.553 ± 0.003,0.526 ± 0.040,0.473 ± 0.046,0.467 ± 0.060,0.329 ± 0.047,0.385 ± 0.056,0.325 ± 0.059
9,0.605 ± 0.011,0.752 ± 0.004,0.655 ± 0.023,0.739 ± 0.048,0.645 ± 0.033,0.528 ± 0.042,0.475 ± 0.018,0.466 ± 0.019,0.397 ± 0.038,0.388 ± 0.014,0.197 ± 0.054,0.289 ± 0.023,0.185 ± 0.014
10,0.580 ± 0.025,0.740 ± 0.028,0.665 ± 0.016,0.709 ± 0.060,0.640 ± 0.057,0.512 ± 0.095,0.432 ± 0.012,0.406 ± 0.016,0.367 ± 0.022,0.343 ± 0.019,0.146 ± 0.003,0.197 ± 0.051,0.111 ± 0.059
