Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.952 ± 0.018,0.955 ± 0.020,0.970 ± 0.016,0.868 ± 0.075,0.910 ± 0.041,0.905 ± 0.045,0.950 ± 0.021,0.861 ± 0.081,0.950 ± 0.020,0.905 ± 0.045,0.948 ± 0.022,0.860 ± 0.082,0.905 ± 0.046
2,0.923 ± 0.001,0.915 ± 0.036,0.955 ± 0.033,0.827 ± 0.039,0.865 ± 0.042,0.851 ± 0.052,0.915 ± 0.004,0.812 ± 0.042,0.919 ± 0.004,0.853 ± 0.045,0.911 ± 0.008,0.810 ± 0.043,0.852 ± 0.047
3,0.893 ± 0.006,0.883 ± 0.022,0.921 ± 0.030,0.788 ± 0.083,0.824 ± 0.071,0.799 ± 0.086,0.879 ± 0.010,0.762 ± 0.095,0.884 ± 0.011,0.802 ± 0.081,0.869 ± 0.015,0.758 ± 0.098,0.799 ± 0.083
4,0.865 ± 0.028,0.849 ± 0.030,0.879 ± 0.004,0.731 ± 0.091,0.766 ± 0.059,0.724 ± 0.080,0.840 ± 0.039,0.686 ± 0.115,0.842 ± 0.025,0.729 ± 0.077,0.818 ± 0.043,0.676 ± 0.124,0.720 ± 0.083
5,0.843 ± 0.031,0.831 ± 0.013,0.860 ± 0.016,0.742 ± 0.040,0.770 ± 0.033,0.723 ± 0.042,0.811 ± 0.041,0.693 ± 0.059,0.817 ± 0.040,0.726 ± 0.048,0.779 ± 0.052,0.680 ± 0.065,0.715 ± 0.054
6,0.815 ± 0.034,0.794 ± 0.001,0.833 ± 0.013,0.712 ± 0.037,0.740 ± 0.021,0.672 ± 0.025,0.768 ± 0.043,0.645 ± 0.060,0.770 ± 0.026,0.679 ± 0.037,0.721 ± 0.047,0.623 ± 0.070,0.659 ± 0.045
7,0.818 ± 0.044,0.777 ± 0.017,0.845 ± 0.011,0.684 ± 0.062,0.730 ± 0.047,0.651 ± 0.069,0.766 ± 0.062,0.612 ± 0.096,0.784 ± 0.054,0.667 ± 0.076,0.722 ± 0.076,0.584 ± 0.114,0.643 ± 0.091
8,0.802 ± 0.049,0.758 ± 0.004,0.832 ± 0.007,0.718 ± 0.053,0.733 ± 0.017,0.649 ± 0.023,0.739 ± 0.066,0.645 ± 0.088,0.757 ± 0.051,0.666 ± 0.042,0.687 ± 0.078,0.613 ± 0.107,0.624 ± 0.074
9,0.763 ± 0.030,0.762 ± 0.001,0.823 ± 0.013,0.652 ± 0.048,0.698 ± 0.030,0.603 ± 0.040,0.689 ± 0.040,0.542 ± 0.081,0.712 ± 0.031,0.603 ± 0.055,0.622 ± 0.042,0.492 ± 0.100,0.552 ± 0.076
10,0.742 ± 0.040,0.764 ± 0.025,0.827 ± 0.012,0.625 ± 0.042,0.680 ± 0.033,0.581 ± 0.058,0.662 ± 0.064,0.493 ± 0.084,0.688 ± 0.053,0.568 ± 0.069,0.591 ± 0.083,0.427 ± 0.118,0.498 ± 0.117
