Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.877 ± 0.011,0.952 ± 0.021,0.928 ± 0.040,0.934 ± 0.049,0.926 ± 0.039,0.922 ± 0.042,0.871 ± 0.014,0.869 ± 0.019,0.867 ± 0.018,0.867 ± 0.018,0.861 ± 0.021,0.861 ± 0.023,0.861 ± 0.022
2,0.844 ± 0.023,0.925 ± 0.020,0.866 ± 0.016,0.910 ± 0.042,0.865 ± 0.033,0.853 ± 0.039,0.831 ± 0.028,0.828 ± 0.033,0.820 ± 0.030,0.819 ± 0.034,0.804 ± 0.036,0.814 ± 0.040,0.804 ± 0.041
3,0.814 ± 0.030,0.881 ± 0.021,0.810 ± 0.049,0.866 ± 0.042,0.810 ± 0.054,0.783 ± 0.066,0.788 ± 0.038,0.784 ± 0.045,0.760 ± 0.062,0.758 ± 0.066,0.736 ± 0.063,0.754 ± 0.057,0.736 ± 0.064
4,0.760 ± 0.069,0.850 ± 0.017,0.785 ± 0.013,0.849 ± 0.018,0.786 ± 0.021,0.749 ± 0.020,0.719 ± 0.075,0.717 ± 0.087,0.688 ± 0.083,0.691 ± 0.090,0.641 ± 0.102,0.667 ± 0.095,0.641 ± 0.105
5,0.750 ± 0.084,0.851 ± 0.014,0.750 ± 0.054,0.816 ± 0.013,0.747 ± 0.041,0.704 ± 0.043,0.705 ± 0.104,0.693 ± 0.097,0.625 ± 0.026,0.626 ± 0.037,0.581 ± 0.069,0.639 ± 0.122,0.582 ± 0.080
6,0.750 ± 0.071,0.815 ± 0.010,0.698 ± 0.027,0.798 ± 0.006,0.711 ± 0.021,0.645 ± 0.021,0.693 ± 0.091,0.684 ± 0.081,0.590 ± 0.011,0.603 ± 0.023,0.528 ± 0.066,0.616 ± 0.110,0.543 ± 0.078
7,0.743 ± 0.072,0.804 ± 0.001,0.695 ± 0.031,0.792 ± 0.015,0.708 ± 0.026,0.636 ± 0.031,0.680 ± 0.090,0.671 ± 0.076,0.579 ± 0.012,0.592 ± 0.023,0.514 ± 0.067,0.598 ± 0.105,0.527 ± 0.078
8,0.752 ± 0.077,0.789 ± 0.004,0.661 ± 0.025,0.761 ± 0.014,0.672 ± 0.021,0.585 ± 0.025,0.686 ± 0.099,0.650 ± 0.058,0.550 ± 0.013,0.564 ± 0.016,0.482 ± 0.066,0.586 ± 0.119,0.494 ± 0.074
9,0.744 ± 0.084,0.757 ± 0.025,0.653 ± 0.023,0.706 ± 0.022,0.644 ± 0.006,0.530 ± 0.009,0.659 ± 0.124,0.598 ± 0.079,0.532 ± 0.022,0.518 ± 0.047,0.436 ± 0.108,0.504 ± 0.175,0.428 ± 0.127
10,0.750 ± 0.088,0.748 ± 0.021,0.635 ± 0.001,0.718 ± 0.003,0.640 ± 0.000,0.518 ± 0.013,0.663 ± 0.127,0.609 ± 0.066,0.509 ± 0.057,0.516 ± 0.057,0.420 ± 0.132,0.516 ± 0.159,0.427 ± 0.134
