Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.912 ± 0.025,0.954 ± 0.021,0.963 ± 0.018,0.907 ± 0.021,0.928 ± 0.011,0.925 ± 0.013,0.908 ± 0.028,0.897 ± 0.025,0.909 ± 0.028,0.905 ± 0.029,0.904 ± 0.031,0.895 ± 0.029,0.901 ± 0.032
2,0.879 ± 0.023,0.927 ± 0.017,0.944 ± 0.004,0.879 ± 0.018,0.893 ± 0.010,0.885 ± 0.013,0.870 ± 0.028,0.861 ± 0.027,0.873 ± 0.025,0.865 ± 0.028,0.863 ± 0.029,0.851 ± 0.035,0.854 ± 0.033
3,0.853 ± 0.066,0.880 ± 0.013,0.925 ± 0.017,0.749 ± 0.054,0.798 ± 0.028,0.771 ± 0.034,0.834 ± 0.074,0.708 ± 0.040,0.841 ± 0.075,0.759 ± 0.006,0.820 ± 0.082,0.699 ± 0.035,0.742 ± 0.012
4,0.833 ± 0.076,0.867 ± 0.000,0.913 ± 0.002,0.708 ± 0.004,0.766 ± 0.004,0.730 ± 0.004,0.808 ± 0.088,0.649 ± 0.037,0.818 ± 0.083,0.718 ± 0.030,0.789 ± 0.095,0.637 ± 0.044,0.701 ± 0.047
5,0.829 ± 0.066,0.836 ± 0.011,0.912 ± 0.004,0.657 ± 0.048,0.729 ± 0.042,0.676 ± 0.046,0.796 ± 0.077,0.583 ± 0.091,0.812 ± 0.074,0.670 ± 0.078,0.776 ± 0.086,0.564 ± 0.102,0.655 ± 0.086
6,0.822 ± 0.045,0.795 ± 0.020,0.901 ± 0.020,0.615 ± 0.132,0.693 ± 0.114,0.611 ± 0.153,0.775 ± 0.063,0.526 ± 0.186,0.802 ± 0.055,0.621 ± 0.160,0.750 ± 0.075,0.494 ± 0.210,0.596 ± 0.180
7,0.796 ± 0.037,0.772 ± 0.028,0.881 ± 0.028,0.589 ± 0.141,0.669 ± 0.122,0.568 ± 0.174,0.734 ± 0.057,0.480 ± 0.200,0.768 ± 0.049,0.580 ± 0.173,0.698 ± 0.074,0.431 ± 0.235,0.542 ± 0.202
8,0.780 ± 0.027,0.759 ± 0.021,0.865 ± 0.049,0.583 ± 0.191,0.658 ± 0.167,0.546 ± 0.232,0.710 ± 0.043,0.461 ± 0.263,0.744 ± 0.045,0.557 ± 0.228,0.662 ± 0.069,0.403 ± 0.305,0.494 ± 0.242
9,0.761 ± 0.023,0.738 ± 0.018,0.818 ± 0.008,0.560 ± 0.158,0.625 ± 0.127,0.489 ± 0.184,0.675 ± 0.039,0.418 ± 0.226,0.708 ± 0.030,0.504 ± 0.181,0.603 ± 0.051,0.341 ± 0.272,0.433 ± 0.213
10,0.744 ± 0.025,0.733 ± 0.007,0.824 ± 0.040,0.536 ± 0.200,0.593 ± 0.156,0.444 ± 0.218,0.650 ± 0.037,0.371 ± 0.289,0.688 ± 0.045,0.449 ± 0.228,0.573 ± 0.065,0.276 ± 0.346,0.355 ± 0.260
